date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:15	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-60784d61-f280f00211e821f7;gz%22	https://www.kazierfan.com/robots.txt		(from )
11:51:16	47240/47240	---M-Z	200	added ('OK')	text/html	etag:%22b888-6502d351-21bd1de440d09c18;gz%22	https://www.kazierfan.com/themes/khamu/khamu/	C:/Users/begat/Desktop/Phill/Work/www.kazierfan.com/themes/khamu/khamu/index.html	(from )
11:51:16	1443/1443	---M--	200	added ('OK')	image/png	etag:%225a3-6502d351-c6f71671e316ce54;;;%22	https://www.kazierfan.com/themes/khamu/khamu/images/favicon.png	C:/Users/begat/Desktop/Phill/Work/www.kazierfan.com/themes/khamu/khamu/images/favicon.png	(from https://www.kazierfan.com/themes/khamu/khamu/)
11:51:17	65943/65943	---M-Z	200	added ('OK')	text/css	etag:%2210197-6502d351-ad3ce5a4034e2c21;gz%22	https://www.kazierfan.com/themes/khamu/khamu/css/style.css	C:/Users/begat/Desktop/Phill/Work/www.kazierfan.com/themes/khamu/khamu/css/style.css	(from https://www.kazierfan.com/themes/khamu/khamu/)
11:51:17	140083/140083	---M-Z	200	added ('OK')	text/css	etag:%2222333-6502d351-42400808f9cf1172;gz%22	https://www.kazierfan.com/themes/khamu/khamu/css/plugins.css	C:/Users/begat/Desktop/Phill/Work/www.kazierfan.com/themes/khamu/khamu/css/plugins.css	(from https://www.kazierfan.com/themes/khamu/khamu/)
11:51:17	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/begat/Desktop/Phill/Work/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.kazierfan.com/themes/khamu/khamu/)
11:51:17	19028/19028	---M-Z	200	added ('OK')	text/css	etag:%224a54-6502d351-4db6fff3078c0e31;gz%22	https://www.kazierfan.com/themes/khamu/khamu/css/media.css	C:/Users/begat/Desktop/Phill/Work/www.kazierfan.com/themes/khamu/khamu/css/media.css	(from https://www.kazierfan.com/themes/khamu/khamu/)
11:51:18	47240/47240	---M-Z	200	added ('OK')	text/html	etag:%22b888-6502d351-21bd1de440d09c18;gz%22	https://www.kazierfan.com/themes/khamu/khamu/index.html	C:/Users/begat/Desktop/Phill/Work/www.kazierfan.com/themes/khamu/khamu/index-2.html	(from https://www.kazierfan.com/themes/khamu/khamu/)
11:51:19	1443/1443	---M--	200	added ('OK')	image/png	etag:%225a3-6502d351-304a98e0c0724376;;;%22	https://www.kazierfan.com/themes/khamu/khamu/images/logo.png	C:/Users/begat/Desktop/Phill/Work/www.kazierfan.com/themes/khamu/khamu/images/logo.png	(from https://www.kazierfan.com/themes/khamu/khamu/)
11:51:19	31164/31164	---M-Z	200	added ('OK')	text/html	etag:%2279bc-6502d351-469a621882046580;gz%22	https://www.kazierfan.com/themes/khamu/khamu/index-2.html	C:/Users/begat/Desktop/Phill/Work/www.kazierfan.com/themes/khamu/khamu/index-3.html	(from https://www.kazierfan.com/themes/khamu/khamu/)
11:51:19	24669/24669	---M-Z	200	added ('OK')	text/html	etag:%22605d-6502d351-c28759708bb8b990;gz%22	https://www.kazierfan.com/themes/khamu/khamu/index-3.html	C:/Users/begat/Desktop/Phill/Work/www.kazierfan.com/themes/khamu/khamu/index-4.html	(from https://www.kazierfan.com/themes/khamu/khamu/)
11:51:20	24702/24702	---M-Z	200	added ('OK')	text/html	etag:%22607e-6502d351-2d9870f8b2d9241f;gz%22	https://www.kazierfan.com/themes/khamu/khamu/index-4.html	C:/Users/begat/Desktop/Phill/Work/www.kazierfan.com/themes/khamu/khamu/index-5.html	(from https://www.kazierfan.com/themes/khamu/khamu/)
